id,batch,cage,cjb_type,cjb_side_big_reward,rat_bedding,ect_side_dangerous,treatment,ect_traning_duration,cjb_training_duration,birth_apx,cjb_test_start,ect_traning_start,ect_date_start,count_big_reward,choice_score,cjb_test,M,NP,NN,P,N
3355,1,1a,tunnel,right,our,right,control,8,45,17/03/2020,03/07/2020,14/09/2020,27/09/2020,14,-0.066666667,tunnel,0.2,1,-0.2,0.946666667,-0.76
3357,1,1b,tunnel,left,our,left,enrichment_removal,8,40,17/03/2020,27/07/2020,14/09/2020,27/09/2020,17,0.133333333,tunnel,-0.2,1,-0.2,0.893333333,-0.493333333
3359,1,1c,ts,right,our,right,control,10,54,17/03/2020,17/08/2020,14/09/2020,29/09/2020,23,0.533333333,ts,-0.8,0.8,-1,0.964285714,-0.907407407
3361,1,1d,ts,left,our,left,enrichment_removal,14,49,17/03/2020,10/08/2020,14/09/2020,03/10/2020,19,0.266666667,ts,-0.555555556,1,-1,1,-0.85046729
3363,1,1e,ts,left,our,left,control,15,59,17/03/2020,24/08/2020,14/09/2020,04/10/2020,4,-0.733333333,ts,-0.4,0.333333333,-0.75,0.92920354,-0.8
3365,1,1f,tunnel,left,our,left,control,11,34,17/03/2020,20/07/2020,14/09/2020,30/09/2020,7,-0.533333333,tunnel,1,1,-0.2,0.706666667,-0.76
3367,1,1g,ts,right,our,right,enrichment_removal,17,55,17/03/2020,17/08/2020,14/09/2020,06/10/2020,1,-0.933333333,ts,-0.4,0.777777778,-1,0.877192982,-0.851851852
3369,1,1h,tunnel,right,our,right,enrichment_removal,8,29,17/03/2020,14/07/2020,14/09/2020,27/09/2020,20,0.333333333,tunnel,-0.2,0.6,-0.6,0.893333333,-0.68
3377,2,2a,ts,right,our,right,enrichment_removal,10,61,19/05/2020,26/10/2020,23/11/2020,21/12/2020,0,-1,ts,-0.2,0.6,-1,1,-0.801801802
3379,2,2b,ts,left,our,left,control,20,65,19/05/2020,02/11/2020,30/11/2020,09/12/2020,24,0.6,ts,0.555555556,0.777777778,-0.6,1,-0.743589744
3381,2,2c,tunnel,right,our,right,enrichment_removal,8,32,19/05/2020,21/09/2020,19/10/2020,23/11/2020,0,-1,tunnel,-0.6,0.2,-1,0.893333333,-0.84
3383,2,2d,tunnel,left,our,left,control,19,43,19/05/2020,05/10/2020,02/11/2020,03/12/2020,22,0.466666667,tunnel,-0.2,0.6,-0.6,0.813333333,-0.546666667
3385,2,2e,tunnel,left,our,left,enrichment_removal,9,37,19/05/2020,28/09/2020,26/10/2020,19/11/2020,25,0.666666667,tunnel,1,0.6,-0.6,0.786666667,-0.76
3387,2,2f,ts,left,our,left,enrichment_removal,22,88,19/05/2020,07/12/2020,04/01/2021,26/01/2021,13,-0.133333333,ts,-0.4,0.8,-0.8,0.796296296,-0.839285714
3389,2,2g,tunnel,right,our,right,control,8,47,19/05/2020,12/10/2020,09/11/2020,03/12/2020,0,-1,tunnel,1,1,0.6,0.973333333,-0.573333333
3391,2,2h,ts,right,our,right,control,15,55,19/05/2020,19/10/2020,16/11/2020,26/11/2020,17,0.133333333,ts,-0.8,0.2,-0.8,0.963963964,-0.688073394
3429,3,3a,ts,left,our,left,control,21,52,28/07/2020,27/12/2020,24/01/2021,24/02/2021,12,-0.2,ts,-0.555555556,1,-1,0.981818182,-0.81981982
3431,3,3b,tunnel,left,our,right,control,10,33,28/07/2020,07/12/2020,04/01/2021,18/01/2021,19,0.266666667,tunnel,-0.2,1,-0.6,1,-0.546666667
3433,3,3c,ts,right,our,right,enrichment_removal,8,43,28/07/2020,14/12/2020,11/01/2021,21/01/2021,26,0.733333333,ts,-0.8,1,-0.8,1,-0.890909091
3435,3,3d,tunnel,right,our,right,enrichment_removal,10,38,28/07/2020,14/12/2020,11/01/2021,26/01/2021,23,0.533333333,tunnel,1,1,0.2,0.973333333,-0.52
3437,3,3e,tunnel,right,our,left,control,38,39,28/07/2020,14/12/2020,11/01/2021,02/03/2021,19,0.266666667,tunnel,-0.2,1,-1,0.973333333,-0.706666667
3439,3,3f,tunnel,left,our,left,enrichment_removal,13,34,28/07/2020,07/12/2020,04/01/2021,21/01/2021,7,-0.533333333,tunnel,-0.6,0.6,-0.2,0.973333333,-0.12
